agency_id,route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
"MTA NYCT",1,1,"Broadway - 7 Avenue Local",1,http://www.mta.info/nyct/service/pdf/t1cur.pdf,EE352E,""
"MTA NYCT",2,2,"7 Avenue Express",1,http://www.mta.info/nyct/service/pdf/t2cur.pdf,EE352E,""
"MTA NYCT",3,3,"7 Avenue Express",1,http://www.mta.info/nyct/service/pdf/t3cur.pdf,EE352E,""
"MTA NYCT",4,4,"Lexington Avenue Express",1,http://www.mta.info/nyct/service/pdf/t4cur.pdf,00933C,""
"MTA NYCT",5,5,"Lexington Avenue Express",1,http://www.mta.info/nyct/service/pdf/t5cur.pdf,00933C,""
"MTA NYCT",5X,5X,"Lexington Avenue Express",1,http://www.mta.info/nyct/service/pdf/t5cur.pdf,00933C,""
"MTA NYCT",6,6,"Lexington Avenue Local",1,http://www.mta.info/nyct/service/pdf/t6cur.pdf,00933C,""
"MTA NYCT",6X,6X,"Lexington Avenue Express",1,http://www.mta.info/nyct/service/pdf/t6cur.pdf,00A65C,""
"MTA NYCT",7,7,"Flushing Local",1,http://www.mta.info/nyct/service/pdf/t7cur.pdf,B933AD,""
"MTA NYCT",7X,7X,"Flushing Express",1,http://www.mta.info/nyct/service/pdf/t7cur.pdf,B933AD,""
"MTA NYCT",A,A,"8 Avenue Express",1,http://www.mta.info/nyct/service/pdf/tacur.pdf,2850AD,FFFFFF
"MTA NYCT",B,B,"6 Avenue Express",1,http://www.mta.info/nyct/service/pdf/tbcur.pdf,FF6319,""
"MTA NYCT",C,C,"8 Avenue Local",1,http://www.mta.info/nyct/service/pdf/tccur.pdf,2850AD,FFFFFF
"MTA NYCT",D,D,"6 Avenue Express",1,http://www.mta.info/nyct/service/pdf/tdcur.pdf,FF6319,""
"MTA NYCT",E,E,"8 Avenue Local",1,http://www.mta.info/nyct/service/pdf/tecur.pdf,2850AD,FFFFFF
"MTA NYCT",F,F,"Queens Blvd Express/ 6 Av Local",1,http://www.mta.info/nyct/service/pdf/tfcur.pdf,FF6319,""
"MTA NYCT",FS,S,"Franklin Avenue Shuttle",1,http://www.mta.info/nyct/service/pdf/tscur.pdf,"",""
"MTA NYCT",G,G,"Brooklyn-Queens Crosstown",1,http://www.mta.info/nyct/service/pdf/tgcur.pdf,6CBE45,""
"MTA NYCT",GS,S,"42 St Shuttle",1,http://www.mta.info/nyct/service/pdf/t0cur.pdf,6D6E71,""
"MTA NYCT",H,S,"Rockaway Park Shuttle",1,http://www.mta.info/nyct/service/pdf/thcur.pdf,"",""
"MTA NYCT",J,J,"Nassau St Local",1,http://www.mta.info/nyct/service/pdf/tjcur.pdf,996633,""
"MTA NYCT",L,L,"14 St-Canarsie Local",1,http://www.mta.info/nyct/service/pdf/tlcur.pdf,A7A9AC,""
"MTA NYCT",M,M,"QNS BLVD-6th AVE/ Myrtle Local",1,http://www.mta.info/nyct/service/pdf/tmcur.pdf,FF6319,""
"MTA NYCT",N,N,"Broadway Express",1,http://www.mta.info/nyct/service/pdf/tncur.pdf,FCCC0A,""
"MTA NYCT",Q,Q,"Broadway Express",1,http://www.mta.info/nyct/service/pdf/tqcur.pdf,FCCC0A,""
"MTA NYCT",R,R,"Broadway Local",1,http://www.mta.info/nyct/service/pdf/trcur.pdf,FCCC0A,""
"MTA NYCT",SI,SIR,"Staten Island Railway",2,http://www.mta.info/nyct/service/pdf/sircur.pdf,"",""
"MTA NYCT",Z,Z,"Nassau St Express",1,http://www.mta.info/nyct/service/pdf/tjcur.pdf,996633,""
